BASKET_ID,words
28306289367,"[1106523, 1117860]"
28306289368,"[1051305, 7407023, 8205495, 9527487]"
29035642693,"[818980, 865303, 970792, 982790, 1001728, 1012899, 1036249, 1044078, 1083787, 5568334, 5568748, 9420210]"
29094467600,"[830615, 833025, 849098, 851291, 852486, 859075, 865725, 874736, 881074, 911565, 923436, 924610, 929641, 929751, 942525, 948650, 950093, 972312, 977166, 979726, 990770, 992300, 1011974, 1037863, 1046465, 1051781, 1053877, 1054383, 1071939, 1130468, 1132770, 1133018, 5995597, 7167853, 7442056, 9527290, 10285286, 10344586]"
30700915824,"[957232, 1007434, 1108131, 1112598, 1112754]"
31391006103,"[983316, 1085780, 9526673]"
31468250955,"[883404, 905636, 907128, 909894, 983936, 995242, 1027068]"
31699202533,"[830202, 833870, 841686, 856553, 856827, 857638, 857849, 883404, 907128, 907418, 909894, 933729, 936355, 951190, 953134, 976335, 981944, 983936, 991948, 994928, 995242, 996016, 998206, 1012701, 1023421, 1039781, 1044078, 1123035, 1137284]"
31833440307,"[1091929, 6039664, 9445877, 9445886, 9446396, 9446443]"
32444678082,"[839667, 851494, 860776, 866211, 998206, 1012307, 1094679, 10457401]"
32671040946,"[865528, 1029743, 1119761]"
33106625889,[13039424]
33167710958,[832678]
33362891156,"[834103, 940755, 5995331]"
33362891615,[13511748]
33460963472,"[957063, 5573263, 5592261, 9575543]"
33460963487,"[907128, 925514, 1022872, 1124729, 6632622, 6979427]"
33460963488,[1040848]
33823936489,[1004385]
33823936508,"[827683, 925514, 1039156, 12781869, 13876741, 13910163]"
33919219245,"[819927, 821930, 825218, 826249, 835347, 843441, 871756, 879808, 882108, 883963, 884518, 902172, 905286, 907128, 926900, 938700, 945090, 948756, 952163, 965267, 981760, 983210, 1005921, 1006062, 1009333, 1039781, 1047393, 1048462, 1062966, 1070214, 1077709, 1078346, 1078763, 1081017, 1098066, 1114694, 1126910, 1129576, 1131344, 1139827, 5591083, 6464086, 6533236, 6534330, 6534480, 6534552, 6534578, 9297136, 12301109, 12757617, 12810389]"
33944662941,"[920308, 1111839, 7168524]"
33971002200,"[826249, 838186, 847270, 885307, 899019, 965267, 981760, 1023958, 1098066, 8181282, 8181495]"
34267408176,"[833025, 13511937, 13512339]"
34576843227,"[859427, 879755, 992650, 1051810, 1070214, 1081177]"
35333691010,"[951190, 976335, 1044078, 1107839]"
35463278773,"[837107, 838563, 874736, 918335, 920308, 947797, 963226, 987562, 1088835, 1098066, 1105816]"
35841031062,"[907128, 909338, 925514, 948848, 951590, 973135, 983936, 986394, 1013321, 1039781, 1042438, 6979427, 8065410, 9527160, 9677934, 13671962, 13945141]"
35865589797,"[838050, 872342, 905286, 5978648]"
40106733391,"[908318, 973135, 1133072, 9268043]"
40248143592,"[831536, 833723, 838097, 850841, 853904, 857638, 866140, 883404, 892406, 905286, 907128, 909894, 912004, 912902, 913202, 917816, 932557, 938700, 948756, 952981, 972931, 973135, 974340, 979746, 981944, 992650, 1022003, 1031525, 1039781, 1042438, 1051305, 1060529, 1062863, 1069863, 1071995, 1077267, 1078763, 1085476, 1108092, 1108131, 1112754, 1121636, 1133299, 5567901, 7167219, 9527487, 9836106, 12301109, 15927403, 15927850]"
40447560464,"[951242, 977901, 1021783, 1071302, 5566136, 9677305, 13417181]"
40764837392,"[838563, 839818, 849701, 850807, 850841, 854852, 861701, 862139, 865528, 871440, 888431, 896444, 905286, 907128, 909894, 912902, 913202, 914190, 914826, 916767, 920145, 930553, 932863, 938700, 945139, 947798, 956609, 973135, 977508, 981760, 984669, 1001728, 1017061, 1039781, 1046131, 1048462, 1051211, 1057377, 1078763, 1085476, 1100691, 1108092, 1108131, 1112754, 1119761, 1120443, 1121636, 1123146, 1126252, 1139471, 6463658, 6979427, 7167218, 7440665, 9836106, 15506797]"
40826370523,"[834103, 934131, 969197, 7025202]"
40840968344,"[845262, 888404, 934243, 970890, 1008626, 1024224, 1103004, 10204392]"
40941395866,"[839147, 925514, 957232, 995242, 1027068, 1124729]"
41238287575,[6533765]
41238287587,[6534178]
41259547788,"[833715, 838097, 865528, 888431, 891405, 907128, 909894, 914190, 919681, 937571, 953134, 979746, 981760, 981944, 983936, 985119, 995242, 1036249, 1039781, 1043751, 1048462, 1075175, 1119761, 1121636, 1138443, 1139471, 6979427, 8181495, 9835223, 12384775, 13189968]"
41260210709,"[844165, 847789, 854842, 859075, 890695, 906658, 918368, 922907, 992172, 996156, 1009977, 1014948, 1020156, 1027168, 1053489, 1113667, 10355696, 15506797, 15596568]"
41337940967,[957232]
41351785506,"[839849, 850529, 871162, 916767, 985893, 1084208, 1108131, 1112754, 12781869]"
41531841008,"[918013, 956902, 5573812]"
41627648305,"[827656, 833723, 834491, 838186, 838563, 896444, 898212, 907128, 909894, 913202, 913785, 918733, 938700, 943233, 953134, 963226, 973135, 979707, 981760, 983936, 985119, 995242, 999198, 1012701, 1022003, 1054262, 1065364, 1081177, 1121636, 1128647, 1136397, 1138443, 6463658, 7167218, 7167219, 9527158, 9527487, 15506797, 15926887, 15926962]"
41996234463,"[834491, 838186, 851508, 857130, 865174, 865528, 872342, 881249, 883404, 889768, 890695, 897306, 909894, 943233, 962206, 973135, 981760, 981944, 987562, 995242, 1003188, 1005186, 1027068, 1030182, 1033615, 1046275, 1090711, 1101907, 1121636, 1125219, 5568197, 9835223, 12301100, 12325184, 12351869, 12352059, 15506797]"
42038972328,"[861445, 971325, 1084208]"
42250528909,"[896761, 944317, 980815, 1050851, 1089066, 17178955]"
