BASKET_ID,words
27769167459,"[873627, 902856, 937686, 1017838, 8119159]"
27865353259,"[859026, 873627, 981760, 1084203, 9677315]"
27913150669,"[859026, 870894, 902856, 904937, 932247, 997200, 1048727, 1060408, 1080334, 1120275]"
28106400628,"[826829, 840361, 897165, 902856, 932247, 1013664, 1022881, 1028816, 1046584, 1056746, 1077430, 1082185, 1094742, 1104732, 1108963, 1119405, 1131321, 9707137]"
28167800743,"[7409971, 9707137]"
28235570506,"[878996, 896085, 898333, 916122, 928330, 948298, 1112238, 1119405, 5583547, 5586955, 7409971, 7410016, 9419401, 9707137]"
28318381303,"[7409971, 7410016, 7410248, 7410290, 9707137]"
28391688614,"[1063855, 9420282]"
28512353931,"[863664, 873627, 893018, 896085, 928330, 1084203, 1087102, 1120275, 5583547, 5586955]"
28601678689,[1063855]
28788721717,"[888476, 937686, 1007082, 1058942, 1067419, 7410016, 7410290, 9707137]"
28970728228,"[859026, 873627, 897125, 912451, 937686, 995242, 1063855, 1077430, 1084203, 1090676, 7410016, 8119159, 9707137]"
29141928296,"[823721, 840361, 859026, 864225, 904937, 995242, 1058942, 1077430, 1084008, 1084203, 1111498, 1121281, 6919240, 7410016, 7410290, 9523079]"
29672886159,"[840361, 859026, 863664, 867667, 872142, 896085, 902856, 950557, 1029743, 1077430, 1082212, 1084203, 1086504, 1092026, 1112238, 1121393, 9707137]"
30034972753,"[823721, 859026, 863664, 891520, 896085, 902856, 913785, 914188, 914577, 932247, 937791, 950557, 989157, 995242, 1027421, 1077430, 1082185, 1084008, 1084203, 1090676, 1112238, 8119159, 9707137, 12524275]"
30106222514,"[883400, 888014, 896085, 902856, 916122, 964262, 1077430, 1082212, 1084203, 9707137]"
30215635482,"[896085, 897125, 914188, 1027421, 1063855, 1077430, 1082185, 1098692, 9707137]"
30229250716,"[896085, 1027421, 8203834]"
30580008358,[1063855]
30662616129,"[820165, 845208, 849843, 854852, 893867, 896085, 907099, 910439, 921270, 928342, 928932, 940947, 995242, 1004906, 1033403, 1051283, 1077555, 1080911, 1082185, 1088205, 1102067, 1112238, 1133018, 8177622, 9526103, 12757140]"
30818943410,"[865178, 1009549, 1072685]"
30971932134,"[885147, 891520, 896085, 902856, 904362, 926823, 937791, 985999, 997309, 1013664, 1022724, 1027421, 1028816, 1028938, 1047051, 1070845, 1082212, 1083207, 1090676, 1104732, 7409971, 7410290, 9859217]"
31097814767,"[845955, 970030, 991546, 1041259, 6602440, 9297403]"
31254797223,"[859026, 865178, 902856, 913894, 916122, 926630, 932247, 948298, 1027421, 1029743, 1056609, 1070845, 1072685, 1082212, 1084203, 1112238, 1117964, 1119405, 1137775, 9676991]"
31336493162,"[831536, 844023, 851515, 863664, 878338, 891520, 926630, 950557, 962522, 1056609, 1056746, 1060567, 1077430, 1112238, 1117964]"
31336493168,"[851101, 878996]"
31390840739,"[831536, 845307, 903233, 949991, 964977, 1009482, 1013842, 1053733, 1068745, 1082212, 1117964, 1120275, 1122358, 1137775, 7168463, 9266885, 9526185, 10143784]"
31467973590,[7167713]
31490762743,"[863664, 900072, 922318, 950557, 954642, 990186, 1122358, 8158378]"
31541747193,"[883932, 887342, 898333, 900072, 903233, 916122, 922318, 932006, 950557, 964244, 1011645, 1022724, 1084203, 1086504, 1094352, 1108963, 1122358, 1137775, 5568721, 5592270, 7167967, 7168463, 8180870]"
31748008261,"[851515, 859026, 863664, 865178, 902856, 921554, 922318, 937791, 950557, 1017838, 1027421, 1039549, 1044637, 1046968, 1050883, 1051211, 1060567, 1070845, 1079840, 1082212, 1084203, 1122358, 1127555, 8119159, 8203342, 10285133]"
31944791552,"[850841, 851515, 883932, 890597, 900072, 904362, 913894, 916122, 922318, 932006, 950557, 997309, 1011645, 1022872, 1045710, 1072685, 1122358]"
31969482714,"[893868, 937928, 946541, 1056746, 1075755, 1115175, 8203710, 12582235]"
32091353852,"[851515, 891520, 913894, 916122, 922318, 923567, 932006, 950557, 984715, 987838, 1011645, 1024629, 1026531, 1027421, 1065380, 1077430, 1082212, 1112238, 1116253, 1119405, 1122358, 5568657, 6443350, 7409996, 8119156, 10284931, 10456379]"
32161633829,"[822985, 883932, 991412, 1038550, 1059318, 1094262, 7430119, 8158378, 10149948, 10456026]"
32542087812,"[865178, 904362, 913894, 1047051, 1072685, 1079516, 1116253, 8158378]"
32589742437,[1079516]
32589742444,"[834236, 922318, 1011645, 13512965]"
32704762193,"[834183, 1104195, 9836353, 12262832]"
32931897657,[1116253]
32931897663,"[954642, 1095227]"
33002168782,"[840361, 859026, 867667, 891520, 898333, 995242, 1009549, 1018109, 1027421, 1056746, 1082212, 1084203, 8293354, 12524275, 13877192]"
33065961732,"[849871, 880923, 916122, 977867, 978387, 989824, 1012565, 1125664, 6463874, 9187298]"
33239819655,"[835300, 863664, 865178, 891520, 902856, 922318, 950557, 961554, 989157, 1027011, 1037337, 1056746, 1060567, 1070845, 1077430, 1082212, 1122358, 1137775]"
33294283948,[1126719]
